tripduration,starttime,startstationid,startstationlatitude,startstationlongitude,endstationid,usertype
1371,2019-01-01 07:48:30,327,40.7153379,-74.01658354,3701,Subscriber
276,2019-01-01 07:48:30,3409,40.6867443,-73.99063168,3321,Subscriber
1063,2019-01-01 07:49:32,3145,40.77862688,-73.95772073,2021,Subscriber
288,2019-01-01 07:49:17,3146,40.77573034,-73.9567526,3369,Subscriber
687,2019-01-01 07:49:18,3653,40.75820465,-73.9283216,2022,Subscriber
308,2019-01-01 07:49:17,342,40.71739973,-73.98016555,394,Subscriber
470,2019-01-01 07:49:25,3576,40.6767,-73.969024,244,Subscriber
407,2019-01-01 07:50:35,212,40.74334935,-74.00681753,358,Subscriber
285,2019-01-01 07:50:50,293,40.73020661,-73.99102628,369,Subscriber
397,2019-01-01 07:51:24,399,40.68851534,-73.9647628,3486,Subscriber
1335,2019-01-01 07:51:28,308,40.71307916,-73.99851193,414,Subscriber
194,2019-01-01 07:51:45,394,40.72521311,-73.97768752,504,Subscriber
549,2019-01-01 07:51:42,3141,40.76500525,-73.95818491,528,Subscriber
423,2019-01-01 07:51:48,3002,40.711512,-74.015756,3256,Subscriber
131,2019-01-01 07:51:57,494,40.74734825,-73.99723551,3255,Subscriber
210,2019-01-01 07:52:07,3345,40.78948542,-73.95242929,3425,Subscriber
1085,2019-01-01 07:52:16,3659,40.74294892,-74.00413692,2006,Subscriber
891,2019-01-01 07:52:20,379,40.749156,-73.9916,236,Subscriber
1206,2019-01-01 07:52:38,302,40.72082834,-73.97793172,411,Subscriber
243,2019-01-01 07:53:31,3309,40.7859201,-73.94860294,3424,Subscriber
474,2019-01-01 07:54:02,266,40.72368361,-73.97574813,340,Subscriber
265,2019-01-01 07:54:21,411,40.72228087,-73.97668709,410,Subscriber
618,2019-01-01 07:55:46,295,40.71406667,-73.99293911,229,Subscriber
1378,2019-01-01 07:55:54,3067,40.7016657,-73.9437303,301,Subscriber
140,2019-01-01 07:55:51,303,40.72362738,-73.99949601,151,Subscriber
995,2019-01-01 07:56:10,265,40.72229346,-73.99147535,3066,Subscriber
231,2019-01-01 07:56:46,507,40.73912601,-73.97973776,2003,Subscriber
637,2019-01-01 07:57:05,3151,40.7728384,-73.94989233,3136,Subscriber
633,2019-01-01 07:57:05,3151,40.7728384,-73.94989233,3136,Subscriber
435,2019-01-01 07:57:08,167,40.7489006,-73.97604882,3457,Subscriber
403,2019-01-01 07:57:24,394,40.72521311,-73.97768752,3263,Subscriber
869,2019-01-01 07:57:27,307,40.71427487,-73.98990025,507,Subscriber
264,2019-01-01 07:57:42,164,40.75323098,-73.97032517,3457,Subscriber
253,2019-01-01 07:57:41,326,40.72953837,-73.98426726,293,Subscriber
605,2019-01-01 07:58:11,245,40.69327018,-73.97703874,310,Subscriber
389,2019-01-01 07:58:23,3412,40.6853761,-73.98302136,3663,Subscriber
511,2019-01-01 07:58:25,3396,40.6783563,-74.00014502,143,Subscriber
1085,2019-01-01 07:58:34,347,40.728846,-74.008591,478,Subscriber
691,2019-01-01 07:58:47,501,40.744219,-73.97121214,393,Subscriber
186,2019-01-01 07:58:56,494,40.74734825,-73.99723551,490,Subscriber
2049,2019-01-01 07:59:15,128,40.72710258,-74.00297088,3171,Subscriber
1373,2019-01-01 07:59:13,394,40.72521311,-73.97768752,353,Subscriber
3996,2019-01-01 07:59:26,344,40.6851443,-73.95380904,3393,Subscriber
560,2019-01-01 07:59:42,174,40.7381765,-73.97738662,385,Subscriber
698,2019-01-01 07:59:43,368,40.73038599,-74.00214988,327,Subscriber
467,2019-01-01 07:59:54,3283,40.7882213,-73.97041561,3164,Subscriber
3112,2019-01-01 08:00:14,3434,40.79025417,-73.9771834,347,Subscriber
384,2019-01-01 08:00:18,490,40.751551,-73.993934,459,Subscriber
1011,2019-01-01 08:00:55,3121,40.74524768,-73.94733276,3121,Subscriber
126,2019-01-01 08:01:12,151,40.72210379,-73.99724901,3427,Subscriber
281,2019-01-01 08:01:11,229,40.72743423,-73.99379025,252,Subscriber
216,2019-01-01 08:01:11,3358,40.6711978,-73.97484126,3304,Subscriber
222,2019-01-01 08:01:16,3360,40.7829391,-73.9786517,3434,Subscriber
1933,2019-01-01 08:01:19,3372,40.7689738,-73.95482273,448,Subscriber
240,2019-01-01 08:01:25,2008,40.70569254,-74.01677685,534,Subscriber
485,2019-01-01 08:01:36,302,40.72082834,-73.97793172,531,Subscriber
1785,2019-01-01 08:01:55,319,40.711066,-74.009447,293,Subscriber
612,2019-01-01 08:02:08,536,40.74144387,-73.97536082,492,Subscriber
597,2019-01-01 08:02:19,342,40.71739973,-73.98016555,445,Subscriber
937,2019-01-01 08:02:35,380,40.73401143,-74.00293877,519,Subscriber
1143,2019-01-01 08:02:36,3417,40.6795766,-73.97854971,417,Subscriber
120,2019-01-01 08:02:39,297,40.734232,-73.986923,461,Subscriber
1140,2019-01-01 08:02:42,2012,40.739445,-73.976806,323,Subscriber
546,2019-01-01 08:02:46,3166,40.78057799,-73.98562431,3158,Subscriber
1914,2019-01-01 08:03:03,3368,40.6728155,-73.98352355,3092,Subscriber
330,2019-01-01 08:03:05,353,40.68539567,-73.97431458,314,Subscriber
356,2019-01-01 08:03:09,3167,40.77966809,-73.98093045,2006,Subscriber
384,2019-01-01 08:03:14,327,40.7153379,-74.01658354,3256,Subscriber
1797,2019-01-01 08:03:23,3541,40.813358,-73.956461,3529,Subscriber
87,2019-01-01 08:03:46,3167,40.77966809,-73.98093045,3167,Subscriber
207,2019-01-01 08:03:53,3074,40.70767788,-73.94016171,3081,Subscriber
1407,2019-01-01 08:03:59,411,40.72228087,-73.97668709,3686,Subscriber
611,2019-01-01 08:04:21,3686,40.7394482,-74.00507033,3263,Subscriber
223,2019-01-01 08:04:51,3697,40.77515953,-73.98918696,3175,Subscriber
828,2019-01-01 08:04:48,3435,40.718822,-73.99596,2008,Subscriber
558,2019-01-01 08:04:57,3502,40.7954121,-73.9441232,3529,Subscriber
597,2019-01-01 08:05:05,3486,40.68841743,-73.98451656,3486,Subscriber
129,2019-01-01 08:05:10,3360,40.7829391,-73.9786517,3360,Subscriber
150,2019-01-01 08:05:18,3427,40.72430527,-73.99600983,3260,Subscriber
1537,2019-01-01 08:05:26,3324,40.6685455,-73.99333264,3067,Subscriber
832,2019-01-01 08:05:33,3405,40.6704836,-73.98208968,3486,Subscriber
1078,2019-01-01 08:05:48,3687,40.74322681,-73.97449784,519,Subscriber
746,2019-01-01 08:06:37,3405,40.6704836,-73.98208968,3486,Subscriber
297,2019-01-01 08:06:28,293,40.73020661,-73.99102628,445,Subscriber
129,2019-01-01 08:06:37,3687,40.74322681,-73.97449784,507,Subscriber
178,2019-01-01 08:06:55,261,40.69474881,-73.98362464,323,Subscriber
